 ******* Program HYDRUS
 ******* 
 Welcome to HYDRUS-1D                                                    
 Date:  15.11.2022    Time:  17:50:58
 Units: L = cm   , T = days , M = µg   


    n      depth     THr       THs       hs       Ks        Ks/KsTop     Beta      Ah        AK        ATh
  111     27.50     0.078     0.400       0.0   0.200E+02     1.000     0.000     1.000     1.000     1.000
  112     27.75     0.078     0.400       0.0   0.200E+02     1.000     0.000     1.000     1.000     1.000
  113     28.00     0.078     0.400       0.0   0.200E+02     1.000     0.000     1.000     1.000     1.000
  114     28.25     0.078     0.400       0.0   0.200E+02     1.000     0.000     1.000     1.000     1.000
  115     28.50     0.078     0.400       0.0   0.200E+02     1.000     0.000     1.000     1.000     1.000
  116     28.75     0.078     0.400       0.0   0.200E+02     1.000     0.000     1.000     1.000     1.000
  117     29.00     0.078     0.400       0.0   0.200E+02     1.000     0.000     1.000     1.000     1.000
  118     29.25     0.078     0.400       0.0   0.200E+02     1.000     0.000     1.000     1.000     1.000
  119     29.50     0.078     0.400       0.0   0.200E+02     1.000     0.000     1.000     1.000     1.000
  120     29.75     0.078     0.400       0.0   0.200E+02     1.000     0.000     1.000     1.000     1.000
  121     30.00     0.078     0.400       0.0   0.200E+02     1.000     0.000     1.000     1.000     1.000
  122     30.25     0.078     0.400       0.0   0.200E+02     1.000     0.000     1.000     1.000     1.000
  123     30.50     0.078     0.400       0.0   0.200E+02     1.000     0.000     1.000     1.000     1.000
  124     30.75     0.078     0.400       0.0   0.200E+02     1.000     0.000     1.000     1.000     1.000
  125     31.00     0.078     0.400       0.0   0.200E+02     1.000     0.000     1.000     1.000     1.000
  126     31.25     0.078     0.400       0.0   0.200E+02     1.000     0.000     1.000     1.000     1.000
  127     31.50     0.078     0.400       0.0   0.200E+02     1.000     0.000     1.000     1.000     1.000
  128     31.75     0.078     0.400       0.0   0.200E+02     1.000     0.000     1.000     1.000     1.000
  129     32.00     0.078     0.400       0.0   0.200E+02     1.000     0.000     1.000     1.000     1.000
  130     32.25     0.078     0.400       0.0   0.200E+02     1.000     0.000     1.000     1.000     1.000
  131     32.50     0.078     0.400       0.0   0.200E+02     1.000     0.000     1.000     1.000     1.000
  132     32.75     0.078     0.400       0.0   0.200E+02     1.000     0.000     1.000     1.000     1.000
  133     33.00     0.078     0.400       0.0   0.200E+02     1.000     0.000     1.000     1.000     1.000
  134     33.25     0.078     0.400       0.0   0.200E+02     1.000     0.000     1.000     1.000     1.000
  135     33.50     0.078     0.400       0.0   0.200E+02     1.000     0.000     1.000     1.000     1.000
  136     33.75     0.078     0.400       0.0   0.200E+02     1.000     0.000     1.000     1.000     1.000
  137     34.00     0.078     0.400       0.0   0.200E+02     1.000     0.000     1.000     1.000     1.000
  138     34.25     0.078     0.400       0.0   0.200E+02     1.000     0.000     1.000     1.000     1.000
  139     34.50     0.078     0.400       0.0   0.200E+02     1.000     0.000     1.000     1.000     1.000
  140     34.75     0.078     0.400       0.0   0.200E+02     1.000     0.000     1.000     1.000     1.000
  141     35.00     0.078     0.310       0.0   0.200E+02     1.000     0.000     1.000     1.000     1.000
  142     35.25     0.078     0.310       0.0   0.200E+02     1.000     0.000     1.000     1.000     1.000
  143     35.50     0.078     0.310       0.0   0.200E+02     1.000     0.000     1.000     1.000     1.000
  144     35.75     0.078     0.310       0.0   0.200E+02     1.000     0.000     1.000     1.000     1.000
  145     36.00     0.078     0.310       0.0   0.200E+02     1.000     0.000     1.000     1.000     1.000
  146     36.25     0.078     0.310       0.0   0.200E+02     1.000     0.000     1.000     1.000     1.000
  147     36.50     0.078     0.310       0.0   0.200E+02     1.000     0.000     1.000     1.000     1.000
  148     36.75     0.078     0.310       0.0   0.200E+02     1.000     0.000     1.000     1.000     1.000
  149     37.00     0.078     0.310       0.0   0.200E+02     1.000     0.000     1.000     1.000     1.000
  150     37.25     0.078     0.310       0.0   0.200E+02     1.000     0.000     1.000     1.000     1.000
  151     37.50     0.078     0.310       0.0   0.200E+02     1.000     0.000     1.000     1.000     1.000
  152     37.75     0.078     0.310       0.0   0.200E+02     1.000     0.000     1.000     1.000     1.000
  153     38.00     0.078     0.310       0.0   0.200E+02     1.000     0.000     1.000     1.000     1.000
  154     38.25     0.078     0.310       0.0   0.200E+02     1.000     0.000     1.000     1.000     1.000
  155     38.50     0.078     0.310       0.0   0.200E+02     1.000     0.000     1.000     1.000     1.000
  156     38.75     0.078     0.310       0.0   0.200E+02     1.000     0.000     1.000     1.000     1.000
  157     39.00     0.078     0.310       0.0   0.200E+02     1.000     0.000     1.000     1.000     1.000
  158     39.25     0.078     0.310       0.0   0.200E+02     1.000     0.000     1.000     1.000     1.000
  159     39.50     0.078     0.310       0.0   0.200E+02     1.000     0.000     1.000     1.000     1.000
  160     39.75     0.078     0.310       0.0   0.200E+02     1.000     0.000     1.000     1.000     1.000
  161     40.00     0.078     0.310       0.0   0.200E+02     1.000     0.000     1.000     1.000     1.000
end
