 ******* Program HYDRUS
 ******* 
 Welcome to HYDRUS-1D                                                    
 Date:  15.11.2022    Time:  17:50:58
 Units: L = cm   , T = days , M = µg   


    n      depth     THr       THs       hs       Ks        Ks/KsTop     Beta      Ah        AK        ATh
   73     18.00     0.078     0.400       0.0   0.200E+02     1.000     0.000     1.000     1.000     1.000
   74     18.25     0.078     0.400       0.0   0.200E+02     1.000     0.000     1.000     1.000     1.000
   75     18.50     0.078     0.400       0.0   0.200E+02     1.000     0.000     1.000     1.000     1.000
   76     18.75     0.078     0.400       0.0   0.200E+02     1.000     0.000     1.000     1.000     1.000
   77     19.00     0.078     0.400       0.0   0.200E+02     1.000     0.000     1.000     1.000     1.000
   78     19.25     0.078     0.400       0.0   0.200E+02     1.000     0.000     1.000     1.000     1.000
   79     19.50     0.078     0.400       0.0   0.200E+02     1.000     0.000     1.000     1.000     1.000
   80     19.75     0.078     0.400       0.0   0.200E+02     1.000     0.000     1.000     1.000     1.000
   81     20.00     0.078     0.400       0.0   0.200E+02     1.000     0.000     1.000     1.000     1.000
   82     20.25     0.078     0.400       0.0   0.200E+02     1.000     0.000     1.000     1.000     1.000
   83     20.50     0.078     0.400       0.0   0.200E+02     1.000     0.000     1.000     1.000     1.000
   84     20.75     0.078     0.400       0.0   0.200E+02     1.000     0.000     1.000     1.000     1.000
   85     21.00     0.078     0.400       0.0   0.200E+02     1.000     0.000     1.000     1.000     1.000
   86     21.25     0.078     0.400       0.0   0.200E+02     1.000     0.000     1.000     1.000     1.000
   87     21.50     0.078     0.400       0.0   0.200E+02     1.000     0.000     1.000     1.000     1.000
   88     21.75     0.078     0.400       0.0   0.200E+02     1.000     0.000     1.000     1.000     1.000
   89     22.00     0.078     0.400       0.0   0.200E+02     1.000     0.000     1.000     1.000     1.000
   90     22.25     0.078     0.400       0.0   0.200E+02     1.000     0.000     1.000     1.000     1.000
   91     22.50     0.078     0.400       0.0   0.200E+02     1.000     0.000     1.000     1.000     1.000
   92     22.75     0.078     0.400       0.0   0.200E+02     1.000     0.000     1.000     1.000     1.000
   93     23.00     0.078     0.400       0.0   0.200E+02     1.000     0.000     1.000     1.000     1.000
   94     23.25     0.078     0.400       0.0   0.200E+02     1.000     0.000     1.000     1.000     1.000
   95     23.50     0.078     0.400       0.0   0.200E+02     1.000     0.000     1.000     1.000     1.000
   96     23.75     0.078     0.400       0.0   0.200E+02     1.000     0.000     1.000     1.000     1.000
   97     24.00     0.078     0.400       0.0   0.200E+02     1.000     0.000     1.000     1.000     1.000
   98     24.25     0.078     0.400       0.0   0.200E+02     1.000     0.000     1.000     1.000     1.000
   99     24.50     0.078     0.400       0.0   0.200E+02     1.000     0.000     1.000     1.000     1.000
  100     24.75     0.078     0.400       0.0   0.200E+02     1.000     0.000     1.000     1.000     1.000
  101     25.00     0.078     0.400       0.0   0.200E+02     1.000     0.000     1.000     1.000     1.000
  102     25.25     0.078     0.400       0.0   0.200E+02     1.000     0.000     1.000     1.000     1.000
  103     25.50     0.078     0.400       0.0   0.200E+02     1.000     0.000     1.000     1.000     1.000
  104     25.75     0.078     0.400       0.0   0.200E+02     1.000     0.000     1.000     1.000     1.000
  105     26.00     0.078     0.400       0.0   0.200E+02     1.000     0.000     1.000     1.000     1.000
  106     26.25     0.078     0.400       0.0   0.200E+02     1.000     0.000     1.000     1.000     1.000
  107     26.50     0.078     0.400       0.0   0.200E+02     1.000     0.000     1.000     1.000     1.000
  108     26.75     0.078     0.400       0.0   0.200E+02     1.000     0.000     1.000     1.000     1.000
  109     27.00     0.078     0.400       0.0   0.200E+02     1.000     0.000     1.000     1.000     1.000
  110     27.25     0.078     0.400       0.0   0.200E+02     1.000     0.000     1.000     1.000     1.000
