 ******* Program HYDRUS
 ******* 
 Welcome to HYDRUS-1D                                                    
 Date:  15.11.2022    Time:  16:13: 7
 Units: L = cm   , T = days , M = µg   


    n      depth     THr       THs       hs       Ks        Ks/KsTop     Beta      Ah        AK        ATh
   67     26.40     0.078     0.400       0.0   0.200E+02     1.000     0.000     1.000     1.000     1.000
   68     26.80     0.078     0.400       0.0   0.200E+02     1.000     0.000     1.000     1.000     1.000
   69     27.20     0.078     0.400       0.0   0.200E+02     1.000     0.000     1.000     1.000     1.000
   70     27.60     0.078     0.400       0.0   0.200E+02     1.000     0.000     1.000     1.000     1.000
   71     28.00     0.078     0.400       0.0   0.200E+02     1.000     0.000     1.000     1.000     1.000
   72     28.40     0.078     0.400       0.0   0.200E+02     1.000     0.000     1.000     1.000     1.000
   73     28.80     0.078     0.400       0.0   0.200E+02     1.000     0.000     1.000     1.000     1.000
   74     29.20     0.078     0.400       0.0   0.200E+02     1.000     0.000     1.000     1.000     1.000
   75     29.60     0.078     0.400       0.0   0.200E+02     1.000     0.000     1.000     1.000     1.000
   76     30.00     0.078     0.400       0.0   0.200E+02     1.000     0.000     1.000     1.000     1.000
   77     30.40     0.078     0.400       0.0   0.200E+02     1.000     0.000     1.000     1.000     1.000
   78     30.80     0.078     0.400       0.0   0.200E+02     1.000     0.000     1.000     1.000     1.000
   79     31.20     0.078     0.400       0.0   0.200E+02     1.000     0.000     1.000     1.000     1.000
   80     31.60     0.078     0.400       0.0   0.200E+02     1.000     0.000     1.000     1.000     1.000
   81     32.00     0.078     0.400       0.0   0.200E+02     1.000     0.000     1.000     1.000     1.000
   82     32.40     0.078     0.400       0.0   0.200E+02     1.000     0.000     1.000     1.000     1.000
   83     32.80     0.078     0.400       0.0   0.200E+02     1.000     0.000     1.000     1.000     1.000
   84     33.20     0.078     0.400       0.0   0.200E+02     1.000     0.000     1.000     1.000     1.000
   85     33.60     0.078     0.400       0.0   0.200E+02     1.000     0.000     1.000     1.000     1.000
   86     34.00     0.078     0.400       0.0   0.200E+02     1.000     0.000     1.000     1.000     1.000
   87     34.40     0.078     0.400       0.0   0.200E+02     1.000     0.000     1.000     1.000     1.000
   88     34.80     0.078     0.400       0.0   0.200E+02     1.000     0.000     1.000     1.000     1.000
   89     35.20     0.078     0.400       0.0   0.200E+02     1.000     0.000     1.000     1.000     1.000
   90     35.60     0.078     0.400       0.0   0.200E+02     1.000     0.000     1.000     1.000     1.000
   91     36.00     0.078     0.400       0.0   0.200E+02     1.000     0.000     1.000     1.000     1.000
   92     36.40     0.078     0.400       0.0   0.200E+02     1.000     0.000     1.000     1.000     1.000
   93     36.80     0.078     0.400       0.0   0.200E+02     1.000     0.000     1.000     1.000     1.000
   94     37.20     0.078     0.400       0.0   0.200E+02     1.000     0.000     1.000     1.000     1.000
   95     37.60     0.078     0.400       0.0   0.200E+02     1.000     0.000     1.000     1.000     1.000
   96     38.00     0.078     0.400       0.0   0.200E+02     1.000     0.000     1.000     1.000     1.000
   97     38.40     0.078     0.400       0.0   0.200E+02     1.000     0.000     1.000     1.000     1.000
   98     38.80     0.078     0.400       0.0   0.200E+02     1.000     0.000     1.000     1.000     1.000
   99     39.20     0.078     0.400       0.0   0.200E+02     1.000     0.000     1.000     1.000     1.000
  100     39.60     0.078     0.400       0.0   0.200E+02     1.000     0.000     1.000     1.000     1.000
  101     40.00     0.078     0.400       0.0   0.200E+02     1.000     0.000     1.000     1.000     1.000
end
